Date,Not indexed,Indexed,Impressions
2026-04-21,,,5379
2026-04-22,,,4257
2026-04-23,137,19,5244
2026-04-24,137,19,5850
2026-04-25,137,19,5650
2026-04-26,137,19,5580
2026-04-27,137,17,5268
2026-04-28,137,17,4681
2026-04-29,137,17,4448
2026-04-30,137,17,4045
2026-05-01,131,23,8280
2026-05-02,131,23,18723
2026-05-03,131,23,23095
2026-05-04,129,24,26109
2026-05-05,129,24,17995
2026-05-06,129,24,14068
2026-05-07,129,24,19598
2026-05-08,128,24,24503
2026-05-09,128,24,25037
2026-05-10,128,24,25506
2026-05-11,126,24,30081
2026-05-12,126,24,26579
2026-05-13,126,24,28130
2026-05-14,126,24,27287
2026-05-15,125,25,27503
2026-05-16,125,25,23186
2026-05-17,125,25,26900
2026-05-18,125,25,29446
2026-05-19,125,25,30893
2026-05-20,125,25,24401
2026-05-21,125,25,31781
2026-05-22,122,28,36867
2026-05-23,122,28,30819
2026-05-24,122,28,30831
2026-05-25,118,30,91193
2026-05-26,118,30,68383
2026-05-27,118,30,55085
2026-05-28,118,30,56176
2026-05-29,118,31,54653
2026-05-30,118,31,60675
2026-05-31,118,31,57387
2026-06-01,119,31,44916
2026-06-02,119,31,39232
2026-06-03,119,31,35271
2026-06-04,119,31,36991
2026-06-05,124,31,37666
2026-06-06,124,31,31860
2026-06-07,124,31,29416
2026-06-08,124,31,34314
2026-06-09,124,31,34305
2026-06-10,124,31,30489
2026-06-11,124,31,35197
2026-06-12,110,32,40341
2026-06-13,110,32,38284
2026-06-14,110,32,37062
2026-06-15,110,32,38989
2026-06-16,110,32,38045
2026-06-17,110,32,33574
2026-06-18,110,32,37060
2026-06-19,110,32,41554
2026-06-20,110,32,40339
2026-06-21,110,32,38113
2026-06-22,110,32,32682
2026-06-23,110,32,27023
2026-06-24,110,32,25285
2026-06-25,110,32,36245
2026-06-26,110,32,41693
2026-06-27,110,32,37199
2026-06-28,110,32,35404
2026-06-29,110,32,32313
2026-06-30,96,32,30449
2026-07-01,96,32,26487
2026-07-02,96,32,25853
2026-07-03,96,32,27193
2026-07-04,96,32,25029
2026-07-05,96,32,29872
2026-07-06,96,32,29664
2026-07-07,96,32,29483
2026-07-08,96,32,24826
2026-07-09,96,32,27689
